index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
245,Menicon Miru 栄店,Menicon Miru 栄店／栄駅徒歩3分,adsimilarity,adsimilarity,4,1,0,0,0
246,【公式】Galaxy2021年最新モデル,【公式】Galaxy 最新モデル,adsimilarity,adsimilarity,4,1,0,0,0
247,最新の技術でNiziUをFR化,NiziUの映像をFRで楽しもう,adsimilarity,adsimilarity,2,3,0,0,10
248,業界最安水準の保険料で安心保障,安心の保障を業界最安水準で,adsimilarity,adsimilarity,2,3,0,5,5
249,公式：脱毛するなら、今がお得,公式：脱毛するなら半額の今,adsimilarity,adsimilarity,4,1,0,0,0
250,太陽光発電で余ったデンキを買取,余ったデンキをおトクに有効活用,adsimilarity,adsimilarity,4,1,0,0,0
251,アウトソーシングのお仕事紹介,アウトソーシングの求人紹介,adsimilarity,adsimilarity,0,5,1,7,2
252,浮気・不倫の慰謝料請求はこちら,不倫により離婚・慰謝料請求,adsimilarity,adsimilarity,0,5,0,9,1
253,四柱推命 / 一部無料,四柱推命 / 無料鑑定あり,adsimilarity,adsimilarity,0,5,0,1,9
254,フルサイズミラーレスカメラ,フルサイズミラーレス一眼カメラ,adsimilarity,adsimilarity,2,3,1,3,6
255,格安ホテル予約はじゃらん,ホテル予約はじゃらんがお得,adsimilarity,adsimilarity,1,4,0,5,5
256,来院なし。国内正規ED薬380円,国内正規ED薬380円。自宅に郵送,adsimilarity,adsimilarity,1,4,0,4,6
257,あの芸能人の結婚時期を当てた,あの芸能人の結婚運命が見事的中,adsimilarity,adsimilarity,1,4,1,5,4
258,全国の美味しい逸品をお届け,各地の美味しい逸品を楽しむ,adsimilarity,adsimilarity,3,2,0,0,0
259,内側からシミに効く医薬品,シミの元から効く医薬品,adsimilarity,adsimilarity,1,4,0,5,5
260,多彩なラインナップをご用意,豊富なラインナップをご用意,adsimilarity,adsimilarity,0,5,1,4,5
261,追加受講費0円で充実の入学準備,追加受講費不要で入学準備,adsimilarity,adsimilarity,2,3,0,8,2
262,四柱推命 / 無料鑑定あり,四柱推命 / 一部無料,adsimilarity,adsimilarity,0,5,0,7,3
263,復縁実績多数の電話占いカリス,復縁実現の実績多数あり,adsimilarity,adsimilarity,4,1,0,0,0
264,朝8時半よりスカパー/KNTVで放送,朝8時30分より放送/スカパー,adsimilarity,adsimilarity,3,2,0,0,0
265,長野の求人情報,長野の求人情報が豊富,adsimilarity,adsimilarity,0,5,0,2,8
266,シャディ／公式ホームページ,贈り物ならシャディ／公式,adsimilarity,adsimilarity,3,2,0,0,0
267,お得にNetflixを観たい方は必見,お得なNetflixパックが登場,adsimilarity,adsimilarity,1,4,0,9,1
268,お得な新幹線利用プランはコチラ,【お得】ホテル＋新幹線はコチラ,adsimilarity,adsimilarity,4,1,0,0,0
269,今だけ初回50％OFFキャンペーン,今だけ初回半額2480円で試せる,adsimilarity,adsimilarity,3,2,0,0,0
270,不倫により離婚・慰謝料請求,浮気・不倫の慰謝料請求はこちら,adsimilarity,adsimilarity,1,4,0,0,10
271,薬剤師の求人・転職サイト,薬剤師専門の薬剤師求人サイト,adsimilarity,adsimilarity,1,4,0,7,3
272,【京都府限定】介護の好条件求人,【京都府特集】介護の好条件求人,adsimilarity,adsimilarity,0,5,1,6,3
273,【静岡特集】介護の好条件求人,【静岡県限定】介護の転職求人,adsimilarity,adsimilarity,0,5,0,3,7
274,ダンボールワン公式通販サイト,ダンボールワン【公式】,adsimilarity,adsimilarity,0,5,0,4,6
275,埼玉で中古車をお探しならこちら,《トヨタ》埼玉の中古車はこちら,adsimilarity,adsimilarity,3,2,0,0,0
276,中古車査定ならカーセンサー買取,カーセンサーで中古車を査定依頼,adsimilarity,adsimilarity,0,5,0,5,5
277,シミの元から効く医薬品,内側からシミに効く医薬品,adsimilarity,adsimilarity,1,4,0,2,8
278,ギフトの品揃えは常時1万点以上,常時1万点以上の豊富な品揃え,adsimilarity,adsimilarity,2,3,2,6,2
279,原付の任意保険見積比較サイト,原付の任意保険比較はこちら,adsimilarity,adsimilarity,1,4,1,6,3
280,集客のお悩みを解決／売上アップ,売上アップ、集客をサポート,adsimilarity,adsimilarity,1,4,0,7,3
281,2021 NEW COLLECTION,2021年冬物 新作続々入荷中,adsimilarity,adsimilarity,3,2,0,0,0
282,キッチン周りのクリーニングなら,水まわりのクリーニングは,adsimilarity,adsimilarity,4,1,0,0,0
283,結婚なら【ゼクシィ公式サイト】,【ゼクシィ公式サイト】,adsimilarity,adsimilarity,2,3,1,8,1
284,【バイク保険高すぎるかも？】,バイク保険払いすぎかも？,adsimilarity,adsimilarity,0,5,1,5,4
285,春得キャンペーン第1弾,春得キャンペーン,adsimilarity,adsimilarity,3,2,0,0,0
286,申し込みだけ簡単手続き,高速で手続き簡単な通信サービス,adsimilarity,adsimilarity,4,1,0,0,0
287,お子さまが楽しみながら学習を,お子さまが飽きずに楽しく学習を,adsimilarity,adsimilarity,0,5,1,3,6
288,トラベルミステリー】を配信中,トラベルミステリー】を観るなら,adsimilarity,adsimilarity,0,5,0,8,2
289,Menicon Miru 青葉台店／駅チカ,Menicon Miru 青葉台店,adsimilarity,adsimilarity,3,2,0,0,0
290,テレ朝 名作バラエティも配信,テレ朝バラエティ 多数配信中,adsimilarity,adsimilarity,0,5,1,2,7
291,TKPのパーティ・懇親会サービス,パーティ・懇親会もTKPで,adsimilarity,adsimilarity,0,5,2,3,5
292,WEBでかんたん見積もり,ネットで気軽にかんたん見積もり,adsimilarity,adsimilarity,0,5,0,8,2
293,まずは3分から始める英語学習,1回3分からのビジネス英語学習,adsimilarity,adsimilarity,3,2,0,0,0
294,国内最大級の恋活、婚活アプリ,国内最大級の恋活婚活アプリ/R18,adsimilarity,adsimilarity,3,2,0,0,0
295,国内最大級の恋活婚活アプリ/R18,国内最大級の恋活、婚活アプリ,adsimilarity,adsimilarity,4,1,0,0,0
296,【公式】LIMNEのマットレス,【公式】LIMNE の最新マットレス,adsimilarity,adsimilarity,1,4,0,2,8
297,じゃらんゴルフホームページ,ご予約なら【じゃらんゴルフ】,adsimilarity,adsimilarity,3,2,0,0,0
298,新規口座開設はこちら,口座開設はこちら,adsimilarity,adsimilarity,0,5,2,8,0
299,未経験から現場が求める即戦力へ,未経験から即戦力へ,adsimilarity,adsimilarity,0,5,0,7,3
300,人気漫画を最新話まで先行配信,最新話／人気漫画をイッキ読み,adsimilarity,adsimilarity,2,3,0,4,6
301,【最新】人気すっぽんサプリ1位,【決定版】人気すっぽんサプリ,adsimilarity,adsimilarity,4,1,0,0,0
302,LOWYA家具／2021年トレンド,LOWYA家具／2021最新トレンド,adsimilarity,adsimilarity,1,4,2,1,7
303,【総合相談窓口】はこちら,＞総合相談専用ページ＜,adsimilarity,adsimilarity,0,5,0,10,0
304,12球団全試合生中継／スカパー,全試合生中継／スカパー,adsimilarity,adsimilarity,2,3,0,7,3
305,Menicon Miru 青葉台店,Menicon Miru 青葉台店／駅チカ,adsimilarity,adsimilarity,3,2,0,0,0
306,全話イッキ見するなら／dTV公式,全170話イッキ見／dTV＜公式＞,adsimilarity,adsimilarity,4,1,0,0,0
307,ゲートタワーのMeniconMiruへ,Menicon Miru JRゲートタワー店,adsimilarity,adsimilarity,1,4,1,4,5
308,おしゃれな折り畳みスマホ新発売,おしゃれな折り畳みスマホ発売中,adsimilarity,adsimilarity,2,3,2,6,2
309,【ゼクシィ公式サイト】,結婚なら【ゼクシィ公式サイト】,adsimilarity,adsimilarity,2,3,2,2,6
310,1日6分みるみる痩せるおうち運動,1日6分でみるみる痩せる運動,adsimilarity,adsimilarity,2,3,1,7,2
311,運営15年目の老舗サイト,運営15年目の老舗サイト／必見,adsimilarity,adsimilarity,0,5,2,3,5
312,SP ベベラー用チップ／ミスミ,SP ベベラー用チップミスミVONA,adsimilarity,adsimilarity,2,3,2,5,3
313,【アレスの天秤】観るなら,【アレスの天秤】配信中,adsimilarity,adsimilarity,0,5,0,2,8
314,対象の家具・家電10%OFF,会員限定の家具・家電10%OFF,adsimilarity,adsimilarity,4,1,0,0,0
315,お近くのKUMONの教室を検索,まずはお近くのKUMONの教室へ,adsimilarity,adsimilarity,3,2,0,0,0
316,【業界最低水準の魅力的な金利】,金利／業界最低水準でお借り入れ,adsimilarity,adsimilarity,1,4,0,2,8
317,贈り物ならシャディ／公式,シャディ／公式ホームページ,adsimilarity,adsimilarity,1,4,0,8,2
318,階級の妻たち～】見放題,階級の妻たち～】イッキ見,adsimilarity,adsimilarity,0,5,0,8,2
319,人気のサーバーBEST10を発表 ‪,ウォーターサーバー人気1～10位,adsimilarity,adsimilarity,3,2,0,0,0
320,Menicon Miru 高松店,Menicon Miru 高松店／直営販売,adsimilarity,adsimilarity,3,2,0,0,0
321,富士フイルムの機能性表示食品,富士フイルム開発の話題のサプリ,adsimilarity,adsimilarity,4,1,0,0,0
322,【100作品以上】を一挙配信中,102作品が見放題,adsimilarity,adsimilarity,4,1,0,0,0
323,無料お試し登録はこちら【公式】,入会月は無料【公式】,adsimilarity,adsimilarity,4,1,0,0,0
324,Core iシリーズを豊富に取揃え,Ryzenシリーズを豊富に取揃え,adsimilarity,adsimilarity,5,0,0,0,0
325,月額625円でコンテンツ聴き放題,月額625円/スピードラーニング,adsimilarity,adsimilarity,4,1,0,0,0
326,"2/6(土),2/7(日)","2021年1月14日(木),15日(金)",adsimilarity,adsimilarity,5,0,0,0,0
327,14日間お試し入会／明日が最終日,無料招待申込受付／本日が最終日,adsimilarity,adsimilarity,5,0,0,0,0
328,劇場版 鬼滅の刃 無限列車編,【鬼滅の刃】アニメも映画も,adsimilarity,adsimilarity,5,0,0,0,0
329,タオルの雑菌臭対策にも,布団やまくらの寝汗の除菌にも,adsimilarity,adsimilarity,3,2,0,0,0
330,ホテル予約はじゃらんがお得,格安ホテル予約はじゃらん,adsimilarity,adsimilarity,1,4,0,5,5
331,寝ても疲れが取れないママへ,朝からバタバタお疲れママへ,adsimilarity,adsimilarity,5,0,0,0,0
332,ジョナサンの宅配 オードブルも,ジョナサンの宅配 ハンバーグも,adsimilarity,adsimilarity,5,0,0,0,0
333,全品約9%おトクな新価格,全品おトクな新価格,adsimilarity,adsimilarity,4,1,0,0,0
334,医師の求人・転職ならリクルート,病院内のお仕事探しはリクルート,adsimilarity,adsimilarity,5,0,0,0,0
335,葬祭・仏具ローン、どこがいい？,頼れる葬祭仏具ローンを選ぼう,adsimilarity,adsimilarity,3,2,0,0,0
336,完結編・全4話イッキ見しよう,シリーズ作品をまとめて視聴,adsimilarity,adsimilarity,4,1,0,0,0
337,2021SPRING COLLECTION,2021 WINTER COLLECTION,adsimilarity,adsimilarity,5,0,0,0,0
338,ジョナサンの宅配 パスタも,ジョナサンの宅配 オードブルも,adsimilarity,adsimilarity,4,1,0,0,0
339,2021年3月最新のローン情報,2021年3月最新版,adsimilarity,adsimilarity,3,2,0,0,0
340,仕事に育児に限界のママへ,朝からお疲れなママの救世主,adsimilarity,adsimilarity,4,1,0,0,0
341,【FEMMUE(ファミュ)公式】,【公式】FEMMUE／シートマスク,adsimilarity,adsimilarity,3,2,0,0,0
342,車・バイク関連の費用に利用可能,愛車のメンテナンス費用などに,adsimilarity,adsimilarity,3,2,0,0,0
343,CMで話題のドモホルンリンクル,ドモホルンリンクル,adsimilarity,adsimilarity,3,2,0,0,0
344,リクナビ診断/公式サイト,【公式サイト】リクナビ2022,adsimilarity,adsimilarity,4,1,0,0,0
345,(TORY BURCH)がアウトレット価格,(TORY BURCH)が最大3万円割引,adsimilarity,adsimilarity,5,0,0,0,0
346,子供の鍵閉め忘れがなくせます,鍵の閉め忘れ問題がすんなり解決,adsimilarity,adsimilarity,3,2,0,0,0
347,3分で分かる一番安いバイク保険,最安バイク保険がすぐにわかる,adsimilarity,adsimilarity,4,1,0,0,0
348,Die Neue These】見放題,Die Neue These】イッキ見,adsimilarity,adsimilarity,0,5,1,8,1
349,【兵庫県限定】介護の好条件求人,【兵庫県特集】介護の好条件求人,adsimilarity,adsimilarity,1,4,3,4,3
350,ノアレ 1日1粒で手軽に体調管理,ノアレ 1日1粒で手軽に乳酸菌,adsimilarity,adsimilarity,5,0,0,0,0
351,八芳園ウェディングフェア,八芳園フェア【見学予約】,adsimilarity,adsimilarity,5,0,0,0,0
352,"家計に優しい1口3,000円も選べる","持病のある方も1口3,000円で加入",adsimilarity,adsimilarity,4,1,0,0,0
353,≪おしゃれな本棚≫2021最新,≪スッキリ片付く本棚≫2021秋,adsimilarity,adsimilarity,4,1,0,0,0
354,安定した収入可+入社祝い金20万,今だけ入社祝い金20万円支給,adsimilarity,adsimilarity,4,1,0,0,0
355,無料漫画10万話以上をイッキ読み,全話無料の人気漫画も配信中,adsimilarity,adsimilarity,5,0,0,0,0
356,sonitechで建築資材一式を調達,建築資材のデリバリーはsonitech,adsimilarity,adsimilarity,2,3,0,3,7
357,鍵・スペアキーの純正品なら,"スペアキー,合鍵",adsimilarity,adsimilarity,3,2,0,0,0
358,小林製薬の潤い化粧水,小林製薬のセラミド化粧水,adsimilarity,adsimilarity,3,2,0,0,0
359,日本初のNiziU ARコンテンツ配信,NiziUの映像をARで楽しもう,adsimilarity,adsimilarity,3,2,0,0,0
360,"最短""30分""で審査結果が分かる",最短即日でお金を借りる,adsimilarity,adsimilarity,5,0,0,0,0
361,【公式】マイナビWEB EXPO夏の陣,【公式】マイナビ2022EXPO夏の陣,adsimilarity,adsimilarity,4,1,0,0,0
362,(MARNI)が最大70%OFF,(MARNI)が最大3万円割引,adsimilarity,adsimilarity,5,0,0,0,0
363,人気のオトナ女子コミックが充実,新連載・独占コミックも充実,adsimilarity,adsimilarity,5,0,0,0,0
364,今なら人気クラスが10～40％オフ,今なら人気クラスが20～30％オフ,adsimilarity,adsimilarity,5,0,0,0,0
365,即日でお金を借りたい方,周囲に秘密で即日融資も可能,adsimilarity,adsimilarity,3,2,0,0,0
366,ThinkSystemのおすすめサーバー,ThinkSystemの人気サーバー,adsimilarity,adsimilarity,1,4,1,6,3
367,書写の先生になりたい方へ,書写の先生になりませんか？,adsimilarity,adsimilarity,0,5,0,6,4
368,【格安】ホテル予約はじゃらん,【ホテル予約】はじゃらんがお得,adsimilarity,adsimilarity,1,4,1,5,4
369,業界最低水準の金利で新規借入,《業界最低水準》の魅力的な金利,adsimilarity,adsimilarity,2,3,1,2,7
370,ネットもテレ東で配信中,ネットもテレ東【SPY×FAMILY】,adsimilarity,adsimilarity,4,1,0,0,0
371,子どもが持ちたがる防犯グッズ,子どもが喜ぶ《カメラ機能付き》,adsimilarity,adsimilarity,5,0,0,0,0
372,大人気チョコプラが参戦,大人気ニューヨークが参戦,adsimilarity,adsimilarity,5,0,0,0,0
373,選ばれて保有契約120万件突破,選ばれて保有契約件数80万件突破,adsimilarity,adsimilarity,5,0,0,0,0
374,車両保険のお見積り無料,リアルタイム一括見積／無料,adsimilarity,adsimilarity,5,0,0,0,0
375,毎日連載の無料コミックも配信,人気の全話無料コミックも充実,adsimilarity,adsimilarity,5,0,0,0,0
376,【TKP】ウェビナー支援,【TKP】Web会議・ライブ配信支援,adsimilarity,adsimilarity,4,1,0,0,0
377,【公式】mamanic（ママニック）,【公式】ママニック葉酸サプリ,adsimilarity,adsimilarity,3,2,0,0,0
378,誰にも知られずWEB完結,取引はすべてオンラインで出来る,adsimilarity,adsimilarity,4,1,0,0,0
379,【即日】今日、すぐに借りる,なんとしても今日お金を借りたい,adsimilarity,adsimilarity,1,4,1,6,3
380,(WISM)がアウトレット価格,(WISM)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
381,TWDシリーズをイッキ見／dTV,海外ドラマイッキ見するなら/dTV,adsimilarity,adsimilarity,5,0,0,0,0
382,お客様満足95％の給湯器専門会社,工事満足度97％の給湯器専門会社,adsimilarity,adsimilarity,4,1,0,0,0
383,バーミヤンの宅配 ラーメンも,デリバリーならバーミヤンの宅配,adsimilarity,adsimilarity,4,1,0,0,0
384,株式投資なら日興で,株式投資を始めるなら,adsimilarity,adsimilarity,5,0,0,0,0
385,和歌山市内の食事券が返礼品に,和歌山市話題のレストラン食事券,adsimilarity,adsimilarity,5,0,0,0,0
386,最新8巻読めるのはシーモアだけ,最新7巻読めるのはシーモアだけ,adsimilarity,adsimilarity,5,0,0,0,0
387,【TOEIC対策】スタサプ英語,スタディサプリENGLISH／コーチ,adsimilarity,adsimilarity,4,1,0,0,0
388,【今なら3話無料】全9話一気読み,【今なら2話無料】全9話一気読み,adsimilarity,adsimilarity,5,0,0,0,0
389,日本初のNiziU VRコンテンツ配信,最新の技術でNiziUをVR化,adsimilarity,adsimilarity,5,0,0,0,0
390,注目50試合を徹底中継 スカパー,最後まで完全生中継／スカパー,adsimilarity,adsimilarity,5,0,0,0,0
391,一つでも多く、安全にデータ復旧,１秒でも早く、安全にデータ復旧,adsimilarity,adsimilarity,5,0,0,0,0
392,人材管理・人事評価のDX化なら,人事評価をデジタル化しませんか,adsimilarity,adsimilarity,2,3,0,6,4
393,(KIPLING)が最大70%OFF,(KIPLING)がアウトレット価格,adsimilarity,adsimilarity,5,0,0,0,0
394,今、人気のアイテムをPICK UP,人気の売れ筋アイテム公開中,adsimilarity,adsimilarity,0,5,0,6,4
395,みんなが選ぶヒゲ脱毛TOP5,ヒゲ脱毛満足度ランキング,adsimilarity,adsimilarity,2,3,0,7,3
396,グロービスのオンライン研修,企業内研修ならグロービス,adsimilarity,adsimilarity,4,1,0,0,0
397,70歳以上の方も申込める保険も,80歳以上の方の家計に優しい保険,adsimilarity,adsimilarity,5,0,0,0,0
398,【SEASONAL SALE】Max 50%OFF,《TIME SALE》MAX 50% OFF,adsimilarity,adsimilarity,2,3,1,1,8
399,お得なNetflixパックが登場,お得にNetflixを観たい方は必見,adsimilarity,adsimilarity,1,4,0,6,4
400,群馬の転職・求人情報,群馬で求人を見つける,adsimilarity,adsimilarity,0,5,0,7,3
401,刀剣コスプレ写真コンテスト,刀剣コスプレ写真を応募しよう,adsimilarity,adsimilarity,3,2,0,0,0
402,1日6分ﾑﾘなく続く 2週間おためし,1日6分でお腹ｽｯｷﾘ 2週間おためし,adsimilarity,adsimilarity,3,2,0,0,0
403,TWDシリーズを一気見／dTV,dTVでシリーズ作品をイッキ見,adsimilarity,adsimilarity,3,2,0,0,0
404,往復交通＋ホテル,新幹線や飛行機とホテルのセット,adsimilarity,adsimilarity,3,2,0,0,0
405,GUCCIの香水を低価格でお試し,GUCCIの香水をミニサイズで,adsimilarity,adsimilarity,4,1,0,0,0
406,シン・クロニクル,チェンクロシリーズ後継作,adsimilarity,adsimilarity,4,1,0,0,0
407,頭皮と髪が変わる感動をあなたへ,石鹸ひとつで美しい髪と頭皮へ,adsimilarity,adsimilarity,4,1,0,0,0
408,愛車のメンテナンス費用などに,車・バイク関連の費用に利用可能,adsimilarity,adsimilarity,1,4,0,4,6
409,神田駅近のゴルフスクールなら,銀座駅近のゴルフスクールなら,adsimilarity,adsimilarity,5,0,0,0,0
410,最新ソファ«2021夏»,トレンドソファー≪2021夏≫,adsimilarity,adsimilarity,2,3,0,7,3
411,金利も為替手数料も両方おトク,お預入れ時の為替手数料は0円,adsimilarity,adsimilarity,5,0,0,0,0
412,自由にBTOカスタマイズが可能,用途に合わせてカスタマイザ可能,adsimilarity,adsimilarity,4,1,0,0,0
413,顔周りに特化 限定美容ローラー,顔 デコルテ 頭自在にローリング,adsimilarity,adsimilarity,5,0,0,0,0
414,パンフレット制作を見積もり依頼,パンフレット制作をプロに依頼,adsimilarity,adsimilarity,3,2,0,0,0
415,円定期預金 年0.20%（税引前）,特別金利 年0.20%（税引前）,adsimilarity,adsimilarity,5,0,0,0,0
416,大人気ジャルジャルが参戦,大人気ニューヨークが参戦,adsimilarity,adsimilarity,5,0,0,0,0
417,最高のコンテンツを作る会社,最高のコンテンツづくりに挑む,adsimilarity,adsimilarity,1,4,0,3,7
418,専門学校【スタディサプリ進路】,大学情報【スタディサプリ進路】,adsimilarity,adsimilarity,4,1,0,0,0
419,楽しく続けられるサーフヨガ,ボードの上で楽しくヨガレッスン,adsimilarity,adsimilarity,2,3,1,4,5
420,【4/30まで】実質無料,【実質無料】キャンペーン実施中,adsimilarity,adsimilarity,5,0,0,0,0
421,簡単ネット注文でご自宅にお届け,《宅配》自宅やオフィスにお届け,adsimilarity,adsimilarity,4,1,0,0,0
422,一部無料で運勢占い,無料で運勢占い,adsimilarity,adsimilarity,3,2,0,0,0
423,マウスピースで反対咬合の改善,マウスピースで受け口改善,adsimilarity,adsimilarity,2,3,0,4,6
424,心置きなくあちこち行ける脚,日常生活に不安のない脚,adsimilarity,adsimilarity,4,1,0,0,0
425,イラスト制作をプロに依頼,イラスト制作を見積もり依頼,adsimilarity,adsimilarity,3,2,0,0,0
426,【公式】KINTO サブスク／トヨタ,【公式】KINTO ONE／サブスク,adsimilarity,adsimilarity,3,2,0,0,0
427,60秒で引っ越し費用一括比較,60秒で相場が分かる／WEB見積り,adsimilarity,adsimilarity,3,2,0,0,0
428,"1台19,800円/複数台で割引価格","1台19,800円〜/複数店舗対応可能",adsimilarity,adsimilarity,4,1,0,0,0
429,妊娠3ヶ月全員に無料プレゼント,妊娠したら全員に無料プレゼント,adsimilarity,adsimilarity,5,0,0,0,0
430,【5月無料お試し受付中】,2週間の無料お試しはこちらから,adsimilarity,adsimilarity,5,0,0,0,0
431,不倫相手との結婚に向けて,不倫相手との結婚も可能でしょう,adsimilarity,adsimilarity,2,3,3,7,0
432,これからも使い続けたいの声続出,「リピート確定」の声多数,adsimilarity,adsimilarity,1,4,0,7,3
433,ラーメンマップでお店を探そう,ラーメンに特化した専用マップ,adsimilarity,adsimilarity,1,4,0,5,5
434,信頼度・安心感No.1のSRE不動産,成約額納得度No.1のSRE不動産,adsimilarity,adsimilarity,4,1,0,0,0
435,グランド東京有明／大規模温浴,グランド東京有明／天然温泉,adsimilarity,adsimilarity,4,1,0,0,0
436,グランド東京有明／天然温泉,グランド東京有明／大規模温浴,adsimilarity,adsimilarity,3,2,0,0,0
437,1万名に選べるプレゼント,1万名にオムツポーチなど当たる,adsimilarity,adsimilarity,3,2,0,0,0
438,オトナ女子胸キュンコミック充実,人気少女コミックもイッキ読み,adsimilarity,adsimilarity,5,0,0,0,0
439,最新のおすすめヒゲ脱毛TOP5,みんなが選ぶヒゲ脱毛TOP5,adsimilarity,adsimilarity,2,3,0,7,3
440,悪阻がつらい時期の妊婦さん応援,妊婦さん応援キャンペーン,adsimilarity,adsimilarity,4,1,0,0,0
441,資料請求1位の日本ペットプラス,1番人気は日本ペットプラス,adsimilarity,adsimilarity,2,3,0,6,4
442,オリジナル・独占漫画が読み放題,独占配信漫画も読み放題作品豊富,adsimilarity,adsimilarity,2,3,0,7,3
443,妊娠初期の妊婦さん限定,妊娠22週までの妊婦さん限定,adsimilarity,adsimilarity,5,0,0,0,0
444,2022年5月おすすめローン一覧,2022年5月の最新のローン情報,adsimilarity,adsimilarity,3,2,0,0,0
445,dTVでしか見られない特別映像,dTVオリジナル作品,adsimilarity,adsimilarity,1,4,1,4,5
446,Menicon Miru 池袋店,Menicon Miru 池袋店／駅徒歩1分,adsimilarity,adsimilarity,4,1,0,0,0
447,汗ばむ季節に汗ジミ対策,寒い季節も汗ジミ対策,adsimilarity,adsimilarity,5,0,0,0,0
448,分譲住宅・土地購入なら。,分譲住宅も、注文住宅も。,adsimilarity,adsimilarity,3,2,0,0,0
449,税務調査の立ち会いに強い税理士,信頼できる税理士をご紹介,adsimilarity,adsimilarity,5,0,0,0,0
450,最安保険が最短3分で見つかる,比較で最も安い保険が見つかる,adsimilarity,adsimilarity,4,1,0,0,0
451,"知識,経験0でも簡単/Video BRAIN",外注するより簡単/Video BRAIN,adsimilarity,adsimilarity,5,0,0,0,0
452,シンプルな保障でお手頃な保険料,安心保障をお手頃な保険料で,adsimilarity,adsimilarity,4,1,0,0,0
453,夏キャン:今だけ2週間お試し体験,夏ｷｬﾝﾍﾟｰﾝ:2週間体験完全無料,adsimilarity,adsimilarity,3,2,0,0,0
454,11時30分からオンラインセミナー,19時からオンラインセミナー開催,adsimilarity,adsimilarity,5,0,0,0,0
455,WEB会議・研修・セミナー会場,WEB会議・webセミナー会場,adsimilarity,adsimilarity,1,4,1,5,4
456,通販でお得な定期便ご注文,通販サイトで商品の注文,adsimilarity,adsimilarity,4,1,0,0,0
457,データ復旧率95.2%の実力,データ復旧11年連続No.1の技術力,adsimilarity,adsimilarity,5,0,0,0,0
458,業界研究ならマイナビ2024,自己分析ならマイナビ2024,adsimilarity,adsimilarity,3,2,0,0,0
459,(HARDY NOIR)がアウトレット価格,(HARDY NOIR)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
460,男性人気ランキング第1位は？,お薦め人気ランキング第1位は？,adsimilarity,adsimilarity,5,0,0,0,0
461,無料で簡単ホームページ作成,簡単3STEPでショップ開設できる,adsimilarity,adsimilarity,5,0,0,0,0
462,金切鋸刃の通販ならミスミ,金切鋸刃の専用ホームページ,adsimilarity,adsimilarity,4,1,0,0,0
463,【メンズTBC】公式サイト,メンズTBC公式／ヒゲ脱毛,adsimilarity,adsimilarity,3,2,0,0,0
464,無料・最速で見積もり対応します,無料見積もりは最短1時間で完了,adsimilarity,adsimilarity,5,0,0,0,0
465,医療介護求人・転職サイト,医療介護に強い求人サイト,adsimilarity,adsimilarity,2,3,0,2,8
466,タロット占い / 一部無料,タロット占い / 無料鑑定あり,adsimilarity,adsimilarity,1,4,2,0,8
467,都心を中心に41ヶ所に展開,都心を中心に43か所に展開,adsimilarity,adsimilarity,5,0,0,0,0
468,【主要8社】見積りを徹底比較,【主要8社】一括比較が可能,adsimilarity,adsimilarity,3,2,0,0,0
469,人気マタニティ誌無料プレゼント,妊娠10週の全員に無料プレゼント,adsimilarity,adsimilarity,5,0,0,0,0
470,すぐ届くカラコンはコチラから,夕方注文でも翌日届くカラコン,adsimilarity,adsimilarity,4,1,0,0,0
471,観月ありさ愛用,【観月ありさ愛用の美白コスメ】,adsimilarity,adsimilarity,3,2,0,0,0
472,LIXILオンラインショップ,リクシルのカートリッジ通販,adsimilarity,adsimilarity,4,1,0,0,0
473,どこでもカンタン動画制作,素材を入れるだけで動画作成完了,adsimilarity,adsimilarity,4,1,0,0,0
474,シリーズ102作品を一挙配信中,シリーズ100作品以上を一挙配信,adsimilarity,adsimilarity,3,2,0,0,0
475,(LOEWE)が最大3万円割引,(LOEWE)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
476,すっぽんサプリ8年連続売上No.1,すっぽんサプリ11年連続No.1,adsimilarity,adsimilarity,5,0,0,0,0
477,来院なし。診察料0。お薬代のみ,診察料0。お薬代のみお安く提供,adsimilarity,adsimilarity,4,1,0,0,0
478,妊婦さん全員に無料プレゼント,妊婦のための本を無料プレゼント,adsimilarity,adsimilarity,3,2,0,0,0
479,お金のプロが選ぶ自動車保険,専門家が選んだ自動車保険第1位,adsimilarity,adsimilarity,4,1,0,0,0
480,(EDIT.FOR LULU)が最大3万円割引,(EDIT.FOR LULU)が最大70%OFF,adsimilarity,adsimilarity,5,0,0,0,0
481,折りたたみ最新モデルのリアル,最新折りたたみスマホのリアル,adsimilarity,adsimilarity,2,3,1,6,3
482,ご当地グルメをお家で楽しむ,ご当地グルメを購入,adsimilarity,adsimilarity,3,2,0,0,0
483,新世代シンガーを発掘,新世代シンガーオーディション,adsimilarity,adsimilarity,1,4,1,3,6
484,窪塚洋介、セオリーを着る。,オダギリジョーが着るTheory,adsimilarity,adsimilarity,5,0,0,0,0
485,前進誤発進抑制機能を標準装備,衝突被害軽減ブレーキを標準装備,adsimilarity,adsimilarity,5,0,0,0,0
